AUTO_EN unique=486
academy  #368
acid  #145
acquired  #1225
acquirer  #1296
acquisition  #1253
acuity  #694
ad  #1192
adaptations  #1953
adjustments  #1537
adopt  #1083,1415
advanced  #2000
adver  #22
affor  #72,1652
aggressively  #104
algorithm  #1596
algorithms  #1668
align  #1551
alterna  #1688
ams  #15
analysis  #297
announcing  #454
annual  #88,797
apologies  #114
apparent  #652
appetite  #1450
applicant  #1982
applications  #1105
appropriately  #623
aquatics  #1458
arbitrary  #1773
assessment  #1327
assign  #1576
assist  #1406
attempt  #1302
attribute  #1840
bac  #651
bacteria  #140
ban  #259
barrage  #442
barriers  #1774
barring  #975
basement  #1801
bequeathed  #1489
bigwig  #1800
binary  #457
biodiversity  #1334
biopsied  #1692
bipartisan  #1449
boffins  #2007
booms  #223
boost  #1144,1915
bser  #1100
bur  #1377
campaigning  #638
capabilities  #1079
capable  #1649
capitalisation  #988
capitalism  #10,71
car  #1897
carbon  #325
carnivores  #1687
categories  #605
centres  #271
challenges  #90
champagne  #16
cheering  #1077
cheesy  #802
citing  #615
client  #2029
clog  #102
clogged  #17
co  #697
commercial  #809
community  #864
commute  #1881
comparisons  #927
compel  #443
competition  #598,601,992,1168
competitors  #1759
compounds  #367
compulsory  #742,1973
computing  #1126
conceal  #1633
concentrated  #1724
concept  #460,741
confidentiality  #902
consequence  #1164
consequences  #340
consumption  #772,1954
conveniently  #1831
conventional  #1725
cooperate  #1396
correspondent  #1189,1547
create  #588
credited  #1411
cri  #1303
critical  #510
crucially  #323
customise  #2028
cynicism  #757
daunting  #1517
despite  #974
detriment  #681
director  #966
discreetly  #841
disease  #274
disposable  #261
disruption  #338
disruptive  #626
diversity  #1240
divisions  #1293
documentary  #1269
domains  #2032
drama  #880
drubbing  #1058
dusted  #1669
ecosystems  #1359
efficiency  #1010,1099,1101,1145,1167
efficient  #1929
embed  #1994
embrace  #800,1451
emerged  #747
emissions  #1734
emits  #1681
empire  #561
empires  #1275
enamel  #136
encouraged  #1265
endurance  #1931
enforcing  #1378
enrage  #43
enrages  #42
entry  #587
episode  #1186
equivalent  #169
eventually  #968
evolving  #2045
exceed  #165,1057
excessive  #759
exemplifies  #1207,1698
exi  #898
expectations  #1552
expertise  #2069
experts  #2001
explained  #1191
exploded  #1345
exploited  #1599
export  #1009
extraordinary  #643
failing  #930
fantasy  #896
farcical  #624
faul  #1230
fervently  #639
filters  #128
flimsy  #38
fluency  #972
forecasts  #256
fostering  #855
fringed  #1469
frustrated  #2033
gear  #2060
generate  #834
generated  #322
genre  #1266
gleaming  #1455
globalisation  #210
glucose  #1930
gossip  #817
gracing  #1851
grim  #320
guarantee  #1295
gulf  #1516
gut  #1363
harness  #1445
havoc  #410
hes  #174
hinges  #1626
hip  #222
hire  #2006
holed  #1828
homophobia  #866
hormone  #361
hr  #304
ht  #380
hydrocarbons  #731
iber  #409
identity  #509
ige  #1006
illegal  #522
implicit  #1631
imposed  #431,1319
imposing  #385
improbable  #218
improvement  #1085,1180
improvements  #1161,1665
in  #314
inflammatory  #272
ingrained  #77
input  #1104
inseparable  #830
inspired  #1969
integrated  #1654
intensified  #599
intensify  #99
intensity  #1877
intent  #1424
internal  #827
invasive  #1373
investors  #986
invo  #755
iterated  #537
jewels  #1211
jurisdictions  #285
ke  #1012
knobs  #1578
lames  #954
lar  #818
late  #1268
lation  #1859
laven  #1832
le  #118,390,1394,1839
lea  #2062
leak  #20
leases  #990
led  #448,991,1142
legacy  #1488
legend  #1827
lend  #2026
lenses  #929
lers  #170
levers  #1581
levies  #436
linear  #1278
lion  #987
litigation  #1439
littering  #1315
lobbying  #542
lodge  #1457
logic  #1317
loop  #55
loser  #1075
lout  #434,1124
luminous  #719
lure  #1503
margin  #36,1056
marginal  #243,1179
mayhem  #879
merger  #1190
merging  #807
merit  #1848
microscopic  #682
mingled  #806
mission  #1349
moc  #590,1981
monopolist  #574
monopoly  #570,1034
mused  #1281
mutual  #57
nonagenarian  #637
notoriously  #899
novice  #815
nud  #1785
occasionally  #1670
oom  #56
opponent  #1228
opportunity  #810
opposition  #539
optimism  #989,1531
option  #100
options  #58
origin  #337
original  #1422,1971
originated  #1711
output  #1932
parallel  #1243
parity  #1753
patty  #1714
penetrated  #913
performance  #953,1648
periphery  #1514
perishable  #665
persistent  #1254
persuasive  #584
peruse  #848
pessimism  #78
petitioned  #948
petitions  #1380
phase  #1934
phenomenon  #9,408,746
pin  #931
